month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance,dep_time_bin,carrier_origin
4,7,0.213267204,0.26082578,0.194732557,2243,191,0.307938035,0.229299363
9,5,0.179017013,0.209865859,0.277777778,1130,224,0.107609327,0.197222222
7,7,0.213267204,0.26082578,0.194732557,2243,191,0.404553415,0.229299363
8,5,0.253760206,0.189175258,0.234,1005,399,0.107609327,0.226600985
10,4,0.179017013,0.209865859,0.277777778,1345,224,0.209605296,0.197222222
12,1,0.213267204,0.26082578,0.241985027,2128,460,0.307938035,0.229299363
1,4,0.164141953,0.198960499,0.194610778,1124,321,0.107609327,0.188465175
10,3,0.188744508,0.22991128,0.235294117,2020,299,0.307938035,0.222398729
7,1,0.227520436,0.198960499,0.211971026,754,1747,0.107609327,0.32167776
12,6,0.253760206,0.175956284,0.214473684,1344,500,0.209605296,0.170229918
2,1,0.187981127,0.262749446,0.159045028,2146,431,0.307938035,0.173913043
3,3,0.213267204,0.209064327,0.209251101,1158,337,0.209605296,0.2
5,2,0.253760206,0.22991128,0.196226415,1700,2846,0.209605296,0.27027027
3,2,0.164141953,0.160886868,0.198044623,1525,334,0.209605296,0.145833333
7,2,0.227520436,0.227874564,0.248186946,2109,925,0.307938035,0.189655757
8,5,0.164141953,0.218421053,0.16384535,1028,591,0.209605296,0.174145
6,3,0.164141953,0.207460399,0.16384535,1519,2139,0.209605296,0.197860963
12,2,0.253760206,0.18494152,0.234627832,1010,843,0.107609327,0.232858991
6,7,0.193371815,0.171428736,0.182578397,1800,389,0.307938035,0.106346823
1,3,0.200784094,0.209865859,0.211971026,1055,867,0.107609327,0.234210526
5,5,0.179017013,0.169550041,0.280818414,615,190,0.107609327,0.170824341
6,5,0.193371815,0.195102041,0.211971026,1325,1090,0.209605296,0.178907721
4,2,0.253760206,0.262749446,0.219546742,708,1303,0.107609327,0.326890756
6,7,0.193371815,0.151915456,0.277777778,1545,649,0.209605296,0.153658537
5,5,0.193371815,0.234011628,0.205731832,840,1557,0.107609327,0.247524752
7,1,0.193371815,0.206087824,0.182578397,1210,942,0.209605296,0.161629753
11,3,0.179017013,0.106021074,0.172954642,1126,172,0.107609327,0.107039586
6,5,0.164141953,0.142857145,0.16384535,1025,153,0.107609327,0.157193176
8,6,0.188744508,0.16878865,0.280818414,2020,337,0.307938035,0.150793651
6,4,0.179017013,0.275161395,0.171803653,700,98,0.209605296,0.275161395
8,6,0.265797392,0.244406196,0.219546742,2122,861,0.307938035,0.248908297
11,6,0.164141953,0.150916784,0.171803653,605,231,0.107609327,0.100243034
