month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance
9,7,4,20,61,1341,106.0
5,6,1,69,180,911,2125.0
9,2,8,90,167,835,408.0
5,3,13,181,246,930,370.0
1,4,4,20,302,2110,1590.0
9,4,1,90,279,1510,1017.0
8,6,13,201,262,1235,1072.0
10,4,13,231,89,1240,495.0
7,5,13,235,178,1510,1514.0
2,4,2,291,299,930,696.0
10,4,3,43,200,1009,1121.0
3,5,11,231,246,1411,833.0
9,2,12,157,97,2005,1075.0
4,1,13,162,246,1020,1488.0
5,4,13,20,200,1610,404.0
12,6,3,170,180,2011,2475.0
8,5,11,281,293,1555,447.0
4,4,3,170,323,740,1005.0
2,4,2,146,293,1650,2398.0
9,7,13,14,200,800,1073.0
4,5,1,190,69,1128,544.0
5,1,9,116,189,605,1076.0
11,1,1,201,90,515,985.0
1,5,12,108,212,1800,1085.0
2,1,4,293,97,1246,2079.0
7,7,1,235,306,816,1726.0
2,5,1,304,90,1419,1431.0
1,2,1,246,245,1006,2075.0
11,6,1,245,69,1752,449.0
4,4,13,84,229,720,1468.0
3,4,4,20,169,1959,760.0
12,2,13,20,84,605,721.0
5,2,1,235,246,615,1440.0
9,3,13,179,229,920,407.0
11,5,13,148,290,1130,803.0
1,7,11,222,302,1810,436.0
8,3,14,235,131,2004,173.0
10,3,12,181,293,600,337.0
9,4,14,86,187,2130,414.0
6,5,1,67,90,1516,1021.0
7,1,5,89,222,1214,679.0
9,1,1,246,327,852,110.0
12,4,1,90,332,2111,772.0
11,4,13,148,282,1750,192.0
6,4,11,48,90,536,482.0
4,4,12,293,54,1040,326.0
12,7,1,30,90,526,1271.0
5,3,1,271,69,859,257.0
7,3,13,246,199,615,1044.0
4,7,1,90,327,814,813.0
4,4,9,271,200,1435,667.0
7,1,8,324,90,1631,868.0
8,2,12,323,293,1900,2393.0
3,6,5,245,268,540,337.0
8,2,13,33,178,1205,1618.0
11,5,1,69,156,2140,912.0
1,2,11,306,293,915,372.0
12,1,13,179,281,1125,258.0
10,1,11,90,116,1949,853.0
4,5,7,146,178,1515,2762.0
2,7,13,312,147,1055,687.0
3,7,13,181,89,815,862.0
5,3,4,206,180,1859,1619.0
8,5,4,20,161,725,432.0
1,1,8,195,90,600,396.0
6,2,13,201,147,610,849.0
7,3,11,235,340,900,522.0
12,6,10,69,159,920,185.0
9,6,11,243,113,1805,626.0
9,4,12,157,282,720,191.0
7,3,6,119,41,1259,741.0
8,4,4,20,189,1900,762.0
3,6,0,190,136,940,610.0
12,2,14,190,62,1200,305.0
1,6,3,190,117,600,1076.0
6,6,12,89,178,745,628.0
12,2,9,201,43,1348,1121.0
1,6,13,69,84,1250,926.0
10,4,0,170,283,806,718.0
4,7,13,299,180,945,308.0
1,3,13,22,20,1745,813.0
9,3,4,97,69,730,500.0
12,1,11,246,180,719,370.0
9,7,12,89,97,1750,1123.0
4,7,11,222,302,1230,436.0
3,5,13,246,2,2150,328.0
9,4,8,90,51,1219,383.0
3,7,0,294,20,1711,563.0
1,4,13,16,84,1835,323.0
6,2,5,193,89,1441,771.0
5,4,12,155,268,815,224.0
3,6,13,41,224,740,471.0
12,4,10,245,268,1414,337.0
9,4,13,281,293,945,447.0
3,4,2,181,243,1630,834.0
4,4,4,181,178,825,236.0
9,7,13,22,181,1000,341.0
10,4,12,261,293,1535,421.0
2,6,13,22,2,1245,619.0
4,1,13,232,89,2155,472.0
10,2,13,89,104,2040,563.0
11,7,13,84,282,715,247.0
8,5,9,157,212,1148,964.0
4,7,13,41,189,1500,764.0
6,4,11,339,302,1530,273.0
2,2,7,304,230,725,2404.0
3,1,1,253,90,700,604.0
8,5,5,204,90,630,797.0
9,6,4,20,326,819,674.0
11,1,1,293,69,900,2296.0
10,3,8,90,74,1313,592.0
9,6,13,84,326,1020,238.0
8,1,13,243,229,1240,543.0
2,2,13,89,180,1335,862.0
5,2,8,216,90,600,293.0
9,6,13,243,299,815,569.0
4,7,11,341,89,1515,582.0
9,3,12,114,89,615,752.0
2,3,3,170,180,1030,2475.0
1,7,9,314,117,1840,1107.0
2,7,10,69,33,2238,350.0
8,5,1,86,20,2015,547.0
2,6,0,80,169,755,589.0
6,6,13,282,20,610,874.0
10,2,12,224,156,951,305.0
8,3,11,97,26,1030,113.0
6,6,5,90,168,1500,918.0
10,5,11,271,223,720,970.0
4,1,13,179,41,1410,1587.0
8,6,4,323,20,1612,406.0
1,4,5,201,156,2253,854.0
5,6,4,97,180,845,1979.0
2,4,1,246,69,2359,1773.0
12,5,6,232,292,1820,1195.0
3,2,11,327,156,745,936.0
8,3,2,291,304,1210,605.0
9,7,4,151,20,1449,151.0
